Código,Producto,P. Costo,P. Venta,P. Mayoreo,Existencia,Inv. Mínimo,Inv. Máximo,Departamento
7.51E+12,SET DISCOS D/LIJA 7PULG G60 ADIR 11960 F41,$14.37,$24.00,$22.00,3,2,5,DISCOS ABRASIVOS
7.51E+12,SET DISCOS D/LIJA P/LIJADORA ROTO ORBIT G180 ADIR 11984 F41,$19.63,$30.00,$28.00,3,1,5,DISCOS ABRASIVOS
7.19E+12,SF-70018 CESPOL PARA LAVABO 1 1/4 SOLVEX,$75.00,$108.00,$105.00,4,1,2,PLOMERIA
7.51E+12,SIERRA CALADORA 55W 4.5 VEL TRUPER PRO 15420,$750.00,$980.00,$975.00,2,1,2,HERRAMIENTAS
7.51E+12,SIERRA CIRCULAR 7-1/4 1750W TRUPER PRO 11004,"$1,500.00","$2,135.00","$2,100.00",1,1,1,HERRAMIENTAS
7.50E+12,SILICON BAÑOS Y COCINAS BLANCO 280ML SSI4B36 PENNSYLV CYL 1112125,$75.46,$100.00,$97.00,3,2,5,ADHESIVOS
7.51E+12,SILICON RTV PASTA ALT. TEMP. NEGRO 70GR HECORT CYL 1112172,$29.90,$40.00,$38.00,1,1,5,ADHESIVOS
7.51E+12,SILICON RTV PASTA ALT. TEMP. TRANSP 70GR HECORT CYL 112171,$33.16,$45.00,$42.00,23,5,24,ADHESIVOS
7.50E+12,SILICON SANTUL TRANSPARENTE 280ML 5724 ANG,$35.60,$50.00,$48.00,23,4,24,ADHESIVOS
7.50E+12,SILICON SANTUL TRANSPARENTE 85G BLISTER ANG,$19.60,$28.00,$26.00,6,3,10,ADHESIVOS
7.50E+12,SILICON U/GENERAL NEGRO 280ML SSI2N36 PENNSYLV CYL 1112161,$67.90,$90.00,$88.00,4,1,5,ADHESIVOS
7.50E+12,SOCKET DOBLE VOLTECK 46539,$15.00,$22.00,$18.00,1,1,2,ELECTRICIDAD
MOD429,SOCKET LADRÓN E-16 660W 127V ROYER CYL 1716418,$91.41,$120.00,$118.00,3,1,3,ELECTRICIDAD
867,SOCKET MINION 5-1/2 7.5W ANG,$3.00,$6.00,$5.00,10,2,10,ELECTRICIDAD
852,SOCKET MINION COLGANTE VERDE 7.5,$2.70,$5.00,$4.00,10,2,10,ELECTRICIDAD
SOLDA5050,SOLDADURA 50-50 1MTS NACOBRE AMARILLA PLO 2023,$53.00,$72.00,$70.00,30.5,10,31,HERRAMIENTAS
4.02E+11,SOLDADURA 50-50 450GRS NACOBRE AMARILLA PLO 2023,$367.49,$480.00,$477.00,4,2,4,PLOMERIA
6.15E+11,SOLDADURA 50-50 MINI 70GRS 1MTS AMARILLA NACOBRE PLO 2023,$53.62,$72.00,$70.00,4,2,6,PLOMERIA
868,SOLDADURA 60/40 BORK EN TUBO 2.7MTS ANG,$24.00,$35.00,$30.00,2,1,2,ELECTRONICA
6.15E+11,SOLDADURA 95-5 MINI 70GRS 1MTS AZUL PLO 2026,$100.35,$132.00,$130.00,6,2,6,PLOMERIA
861,SOLDADURA EN TUBO RADOX 60/40,$23.90,$35.00,$30.00,3,1,3,ELECTRONICA
INFRA,SOLDADURA INFRA 6013 X 1/8 PUNTO NARANJA,$60.00,$124.00,$118.00,35,10,50,HERRERIA
INFRA332,SOLDADURA INFRA GRIS 3/32,$65.00,$124.00,$120.00,19.76,5,50,HERRERIA
SOL,SOLDADURA INFRA GRIS 3/32 ELECTRODO,$76.00,$84.00,$80.00,0,2,10,HERRERIA
6.79E+11,SOLDADURA MICROALAMBRE FLUX CORE .030MM ELITE 1KG ML,$103.38,$140.00,$135.00,8,2,10,HERRERIA
7.51E+12,SOLDADURA OMEGA 1/2 Y 1/2 3MTS VERDE PLO,$106.72,$150.00,$145.00,4,1,3,PLOMERIA
7.51E+12,SOLDADURA OMEGA 3MM SOLIDA CM,$238.60,$320.00,$310.00,3,1,3,PLOMERIA
7.51E+12,SOLDADURA OMEGA 50-50 MINI 70G AMARILLA PLO,$52.03,$70.00,$65.00,3,1,3,PLOMERIA
7.51E+12,SOLDADURA OMEGA PARA GAS 95-5 3MTS AZUL PLO,$337.52,$440.00,$435.00,3,1,3,PLOMERIA
7.50E+12,SOLDADURA VERDE 3/32 LENOX MWE6013332 CYL 1722235,$62.64,$83.00,$82.00,6.49,5,10,HERRERIA
7.50E+12,SOLDADURA VERDE DE 1/8 DE 1KG LENOX CYL 1722234,$62.64,$84.00,$80.00,6.75,2,5,DISCOS ABRASIVOS
7.50E+12,SOPLETE BOQUILLA BLISTER 942 ADIR DP 1204,$122.50,$170.00,$160.00,3,1,3,HERRAMIENTAS
7.50E+12,SOPLETE BOQUILLA ENC ELECTRONIC 944 ADIR DP 1259,$130.90,$190.00,$180.00,3,1,3,PLOMERIA
6.33E+11,SOPORTE CENTRAL CROMADO P/TUBO ED CLOSET S/T HANDY CYL 1417105,$25.42,$34.00,$32.00,3,1,5,PLOMERIA
7.11E+11,SOPORTE REFORZADO P/LAVABO CON TAQUET PL-B200 PLO,$77.27,$110.00,$105.00,3,2,4,PLOMERIA
SU,SOPORTE UNIVERSAL PARA LAVABO SU,$40.00,$52.00,$50.00,3,1,2,PLOMERIA
147,SOQUET BAQUELITA IUSA ED 111N-AL,$9.00,$12.00,$11.00,6,10,15,ELECTRICIDAD
721,SOQUET CUELLAR SENCILLO CHOLU,$4.80,$8.00,$7.00,10,2,10,ELECTRICIDAD
848,SOQUET DE PORCELANA 7-1/2,$3.30,$6.00,$5.00,6,2,6,ELECTRICIDAD
720,SOQUET IUSA NEGRO SENCILLO CHOLU,$8.80,$16.00,$12.00,10,2,10,ELECTRICIDAD
7.70E+12,SOQUET PLAST CUADRADO SCHNEIDER ED 11117,$26.57,$35.00,$32.00,5,2,10,ELECTRICIDAD
145,SOQUET PLASTICO 1/2 ELECTRON,$6.24,$10.00,$0.00,14,10,10,ELECTRICIDAD
144,SOQUET PLASTICO 3/4 ELECTRON,$6.62,$12.00,$0.00,15,10,20,ELECTRICIDAD
146,SOQUET PLASTICO 5 NACIONAL ELECTRON EDISON,$6.96,$14.00,$12.00,10,10,20,ELECTRICIDAD
7.51E+12,SOQUET PORCELANA DE E26 A E40 ADIR EDISON,$27.49,$38.00,$35.00,4,2,4,ELECTRICIDAD
8.44E+12,SOQUET WANERGY EXTENSOR A 3 SOCKETS CHOLU,$40.50,$65.00,$55.00,3,1,3,ELECTRICIDAD
7.50E+12,SUJETADOR CON MATRACA CARGA MAXIMA 3000KG TRUPER 19286,$375.00,$535.00,$530.50,2,1,2,HERRAMIENTAS
1.21E+11,SWITCH REDONDO C/LUZ 125V 13A STEREN BTS-19 ED,$10.71,$16.00,$15.00,7,2,4,ELECTRICIDAD
696,TACHUELA DORADA ATLAS CHOLU,$0.16,$0.50,$0.35,1000,100,1000,TORNILLOS
697,TACHUELA PLATEADA ATLAS CHOLU,$0.14,$0.50,$0.35,1000,100,1000,TORNILLOS
7.50E+12,TALACHO-PICO 5LB MANGO FIBRA DE VIDRIO 36 TRUPER,$325.00,$423.00,$0.00,3,1,4,HERRAMIENTAS
7.50E+12,TALACHO/HACHA 5LB MANGO FIBRA VIDRIO 36 TRUPER,$325.00,$425.00,$420.00,4,1,4,HERRAMIENTAS
TPAA,TAPA CON ARO TIPO A (CLIP) 19 1/4 TPAA,$65.00,$90.00,$86.00,2,1,2,PLOMERIA
TPAAR,TAPA CON ARO TIPO A DE CUERDA (ROSCA) 19 1/4 TPAAR,$80.00,$106.00,$104.00,2,1,2,PLOMERIA
269,TAPA CUADRADA GALV 1 EDISON 269,$2.43,$5.00,$4.50,22,2,5,ELECTRICIDAD
271,TAPA CUADRADA GALV 1/2 EDISON 271,$2.22,$6.00,$5.00,19,2,5,ELECTRICIDAD
270,TAPA CUADRADA GALV 3/4 EDISON 270,$2.22,$3.50,$3.00,7,2,5,ELECTRICIDAD
149,TAPA CUADRADA PVC 1 ARGOS,$4.70,$7.00,$6.00,5,5,5,ELECTRICIDAD
148,TAPA CUADRADA PVC 1/2 ARGOS,$2.02,$3.50,$2.50,5,5,5,ELECTRICIDAD
150,TAPA CUADRADA PVC 3/4 ARGOS,$3.72,$5.50,$4.50,5,5,5,ELECTRICIDAD
TAPCH,TAPA DE INSERCION SANITARIA PVC 1 1/2 PUL 40MM DIPLO,$1.90,$6.00,$5.00,6,4,10,PLOMERIA
TAP2,TAPA DE INSERCION SANITARIA PVC 2 PUL 50MM DIPLO,$1.80,$6.00,$5.50,6,3,10,PLOMERIA
TAP12,TAPON 1-1/2 GRIFE TAP12,$10.00,$15.00,$13.00,30,2,30,PLOMERIA
TN05,TAPON 1/2 NPT GRIFE TN05,$3.00,$5.00,$4.00,29,2,30,PLOMERIA
7.50E+12,TAPON AUDITIVO DESECHABLE DE ESPUMA TRUPER 14223,$6.00,$8.00,$7.50,11,4,12,SEGURIDAD E HIGIENE
7.50E+12,TAPON AUDITIVO REUTILIZABLE TIPLE BAR TRUPER 14225,$9.00,$12.00,$10.00,9,4,12,SEGURIDAD E HIGIENE
498,TAPON CAPA COBRE TROCOSA 1/2 PLO 2082,$5.95,$9.00,$8.00,8,5,20,PLOMERIA
499,TAPON CAPA COBRE TROCOSA 3/4 PLO 2083,$11.09,$15.00,$14.00,9,5,20,PLOMERIA
461,TAPON CAPA GALV 3/4 PLO,$8.18,$11.00,$10.50,10,5,20,PLOMERIA
460,TAPON CAPA GALV 3/8 PLO 2063,$6.58,$9.00,$8.50,10,5,20,PLOMERIA
462,TAPON CAPA GALV NEGRO 1 PLO 2066,$12.50,$17.00,$16.00,10,5,20,PLOMERIA
588,TAPON CAPA GALV NEGRO 1/2 PLO 2064,$5.68,$10.00,$9.00,8,5,15,PLOMERIA
319,TAPON CAPA IUSAPLUS 1/2 PLOMECSA 616400,$1.80,$3.00,$2.50,20,20,100,PLOMERIA
320,TAPON CAPA PPR IUSAPLUS 3/4 PLOMECSA 616401,$2.40,$3.50,$3.00,35,20,100,PLOMERIA
551,TAPON CAPA PVC C.40 1 PLO 2072,$1.89,$3.00,$2.50,10,5,20,PLOMERIA
553,TAPON CAPA PVC C.40 1-1/2 PLO 2074,$4.48,$6.50,$6.00,5,5,15,PLOMERIA
552,TAPON CAPA PVC C.40 1-1/4 PLO 2073,$3.24,$5.00,$4.00,10,5,20,PLOMERIA
549,TAPON CAPA PVC C.40 1/2 PLO 2070,$0.79,$1.50,$1.00,15,5,30,PLOMERIA
554,TAPON CAPA PVC C.40 2 PLO 2075,$6.39,$9.00,$8.00,10,5,15,PLOMERIA
550,TAPON CAPA PVC C.40 3/4 PLO 2071,$1.17,$2.00,$1.50,10,5,20,PLOMERIA
623,TAPON CAPA PVC SANITARIO REFOR N-100 4 PLO 2076,$9.51,$17.00,$15.00,9,2,3,PLOMERIA
626,TAPON CAPA PVC SANITARIO REFOR N-40 1-1/2 PLO 2078,$2.34,$6.00,$5.00,3,2,3,PLOMERIA
625,TAPON CAPA PVC SANITARIO REFOR N-50 2 PLO 2079,$2.05,$6.00,$5.00,3,2,3,PLOMERIA
624,TAPON CAPA PVC SANITARIO REFOR N-75 3 PLO 2080,$7.00,$12.00,$10.00,8,2,3,PLOMERIA
7.51E+12,TAPON DE PVC PARA LAVABO 1-1/4 FOSET 49815,$4.00,$8.00,$6.00,10,2,10,PLOMERIA
555,TAPON HEMBRA C/ROSCA PVC .40 3/4 PLO 2093,$3.05,$4.50,$4.00,10,5,15,PLOMERIA
7.51E+12,TAPON HEMBRA LATON 3/8 FOSET,$12.00,$16.00,$15.50,20,5,20,PLOMERIA
466,TAPON MACHO GALV NEGRO 1 PLO 2097,$7.49,$11.00,$10.00,8,5,20,PLOMERIA
465,TAPON MACHO GALV NEGRO 3/4 PLO 2096,$5.49,$8.00,$7.00,15,5,20,PLOMERIA
463,TAPON MACHO GALV NEGRO 3/8 PLO 2094,$5.29,$8.00,$7.00,10,5,20,PLOMERIA
558,TAPON MACHO PVC C.40 C/ROSCA 1 PLO 2105,$6.90,$9.50,$9.00,10,5,15,PLOMERIA
556,TAPON MACHO PVC C.40 C/ROSCA 1/2 PLO 2103,$3.85,$5.50,$5.00,10,5,15,PLOMERIA
557,TAPON MACHO PVC C.40 C/ROSCA 3/4 PLO 2104,$4.93,$7.00,$6.50,10,5,15,PLOMERIA
1.08E+13,TAPON PARA SWITCH PORCELANA 30A MOD. 730 IUSA CYL 1716269,$8.51,$12.00,$10.00,10,1,5,ELECTRICIDAD
464,TAPPON MACHO GALV NEGRO 1/2 PLO 2095,$4.77,$7.00,$6.00,15,5,20,PLOMERIA
7.11E+11,TAPÓN PLANO UNIVERSO PARA COLADERA 4 COFLEX PC-B100,$21.00,$30.00,$27.00,2,2,3,PLOMERIA
2,TAQUETE ANCLA ARPON 1/4 X 3 CN 075051515,$3.41,$10.00,$8.00,6,2,6,TORNILLOS
3,TAQUETE ANCLA ARPON 5/16 X 2-3/4 CN 075051525,$3.66,$11.00,$10.00,6,2,6,TORNILLOS
987,TAQUETE C/TORNILLO 1/4 X 2 1/2 CAMISA DORADA H79,$4.44,$9.00,$8.00,20,5,50,TORNILLOS
989,TAQUETE C/TORNILLO 3/8 X 2 1/2 CAMISA DORADA H79,$8.90,$15.00,$14.00,20,5,40,TORNILLOS
988,TAQUETE C/TORNILLO 5/16 X 3 CAMISA DORADA H79,$7.14,$12.00,$11.00,20,5,40,TORNILLOS
7,TAQUETE EXPAN TROP C/ARGOLLA M6 X 45 P/BROCA 8MM CN 075040005,$5.25,$12.00,$10.00,6,2,6,TORNILLOS
9,TAQUETE EXPAN TROP C/GANCHO M6 X 45 P/BROCA 8MM CN 075030005,$5.39,$12.00,$10.00,6,2,6,TORNILLOS
10,TAQUETE EXPAN TROP C/GANCHO M8 X 60 P/BROCA 10MM CN 075030010,$8.39,$15.00,$14.00,6,2,6,TORNILLOS
8,TAQUETE EXPAN TROPICALIZADO C/ARGOLLA 8 X 60 P/BROCA 10MM CN 075040010,$8.56,$15.00,$14.00,6,2,6,TORNILLOS
6,TAQUETE EXPAN TUBO 5/16 X 2-1/2 P/BROCA 7/16 CN 075010120,$6.36,$10.00,$8.00,6,2,6,TORNILLOS
4,TAQUETE EXPANSOR TUBO 1/4 X 2-1/2 P/BROCA 3/8 CN 075010110,$4.92,$8.00,$7.00,6,2,6,TORNILLOS
5,TAQUETE EXPANSOR TUBO 3/8 X 3 P/BROCA 1/2 1PZA CN 075010130,$8.78,$13.00,$12.00,6,2,6,TORNILLOS
9.00E+12,TAQUETE PLASTIC TIPO NUDO #6 X 1 CN 075060550,$0.09,$0.50,$0.35,186,100,200,TORNILLOS
9.00E+12,TAQUETE PLASTIC TIPO NUDO #8 X 1-1/2 CN 075060560,$0.14,$0.50,$0.35,194,100,200,TORNILLOS
44201,TAQUETE PLASTICO AZUL 3/8 X 1-3/4 FIERRO 44201 INDIVIDUAL,$0.50,$2.00,$1.00,101,50,100,TORNILLOS
9.00E+11,TAQUETE PLASTICO C/ROSCA 1/4 CN 075060000,$18.81,$25.00,$23.00,2,5,10,TORNILLOS
44200,TAQUETE PLASTICO CAFE 5/16 X 1-3/4 FIERO 44200 INDIVIDUAL,$0.76,$1.50,$1.00,97,50,100,TORNILLOS
2.50E+12,TAQUETE PLASTICO PARA PANEL DE YESO CN 075060020,$0.40,$1.00,$0.50,190,100,300,TORNILLOS
44199,TAQUETE PLASTICO ROJO 1/4 X 1-1/2 FIERRO 44199 INDIVIDUAL,$0.30,$0.50,$0.48,84,50,100,TORNILLOS
9.00E+12,TAQUETE PLASTICO TIPO ARPON 1/4 X 1-1/4 GRIS CN 075060500,$12.68,$17.00,$16.00,2,3,10,TORNILLOS
9.12E+12,TAQUETE PLASTICO TIPO ARPON 3/8 X 2 CN 075060520,$0.26,$2.00,$1.00,100,50,100,TORNILLOS
382,TEE COBRE 1 NACOBRE PLO 2130,$117.44,$154.00,$153.00,5,5,20,PLOMERIA
380,TEE COBRE 1/2 NACOBRE PLO 2128,$14.96,$21.00,$20.00,20,5,20,PLOMERIA
381,TEE COBRE 3/4 NACOBRE PLO 2129,$40.02,$53.00,$52.00,10,5,20,PLOMERIA
493,TEE COBRE NACOBRE REDUCIDO 3/4 X 3/4 X1/2 PLO 2137,$63.89,$85.00,$84.00,5,5,10,PLOMERIA
383,TEE COBRE REDUCIDO 3/4 X 1/2 X 1/2 NACOBRE PLO 2135,$64.76,$85.00,$84.00,5,0,0,PLOMERIA
384,TEE COBRE REDUCIDO 3/4 X 1/2 X 3/4 NACOBRE PLO 2136,$63.89,$84.00,$83.00,5,5,20,PLOMERIA
490,TEE CPVC 1 PLO 2142,$6.84,$10.00,$9.00,10,5,20,PLOMERIA
365,TEE CPVC 1/2,$1.60,$2.50,$2.00,9,20,50,PLOMERIA
366,TEE CPVC 3/4,$3.32,$5.00,$4.00,8,20,50,PLOMERIA
470,TEE GALV 1 PLO 2153,$22.77,$31.00,$30.00,10,5,20,PLOMERIA
468,TEE GALV 1/2 PLO 2151,$10.57,$15.00,$14.00,10,5,20,PLOMERIA
589,TEE GALV 1/4 PLO 2149,$14.49,$20.00,$19.00,10,5,15,PLOMERIA
469,TEE GALV 3/4 PLO 2152,$13.07,$18.00,$17.00,10,5,20,PLOMERIA
467,TEE GALV 3/8 PLO,$14.88,$20.00,$19.50,10,5,20,PLOMERIA
7.51E+12,TEE INSERCION 1/2 POLIPROPILENO FOSET,$10.00,$17.00,$16.00,20,5,10,PLOMERIA
7.51E+12,TEE INSERCION MACHO LATON 1/2 PARA POLIDUCTO FOSET 49641,$55.00,$72.00,$70.00,12,2,12,PLOMERIA
790,TEE PPR IUSAPLUS 1 PULG 32MM PLO,$8.00,$13.00,$12.00,3,3,5,PLOMERIA
323,TEE PPR IUSAPLUS 1/2 PLOMECSA 616384,$4.44,$7.00,$6.50,23,20,100,PLOMERIA
482,TEE PPR IUSAPLUS 3/4 PLO 3395,$5.46,$8.00,$7.00,6,5,20,PLOMERIA
324,TEE PPR IUSAPLUS HEMBRA 3/4 PLOMECSA 616394,$35.63,$47.00,$46.50,15,20,100,PLOMERIA
325,TEE PPR IUSAPLUS MACHO 3/4 PLOMECSA 616396,$37.08,$49.00,$48.50,15,20,100,PLOMERIA
574,TEE PPR IUSAPLUS MACHO C/ROSCA 1/2 PLO 2316,$24.65,$33.00,$32.00,10,5,15,PLOMERIA
561,TEE PVC C.40 1 PLO 2177,$5.56,$8.00,$7.00,10,5,20,PLOMERIA
563,TEE PVC C.40 1-1/2 PLO 2179,$13.36,$18.00,$17.50,8,5,15,PLOMERIA
562,TEE PVC C.40 1-1/4 PLO 2178,$9.49,$13.00,$12.50,10,5,20,PLOMERIA
559,TEE PVC C.40 1/2 PLO 2175,$2.20,$3.50,$3.00,10,5,20,PLOMERIA
564,TEE PVC C.40 2 PLO 2180,$18.73,$27.00,$25.00,5,5,15,PLOMERIA
560,TEE PVC C.40 3/4 PLO 2176,$3.36,$5.00,$4.50,5,5,20,PLOMERIA
572,TEE PVC C.40 C/ROSCA 3/4 PLO 2182,$2.56,$4.00,$3.50,10,5,20,PLOMERIA
TEE2,TEE PVC SANITARIA REFORZ 2 PULG 50 X 50 DIPLO,$5.80,$12.00,$11.00,6,3,10,PLOMERIA
TEE12,TEE PVC SANITARIA REFORZA 1 1/2 PULG 40 X 40 DIPLO,$6.90,$14.00,$13.00,6,3,10,PLOMERIA
636,TEE PVC SANITARIO REF 3 PULG DIPLO,$13.00,$25.00,$24.00,6,2,3,PLOMERIA
634,TEE PVC SANITARIO REF N-100 4 PLO 2183,$22.26,$40.00,$35.00,3,2,4,PLOMERIA
TEE4A2,TEE PVC SANITARIO REFOR 4 PULG  X 2 PULG DIPLO,$18.20,$32.00,$30.00,4,2,6,PLOMERIA
619,TEE PVC SANITARIO REFOR NORMA 100-50 4 X 2 PLO 2184,$16.92,$30.00,$28.00,0,2,3,PLOMERIA
573,TEE REDUCIDO PVC C.40 1 X 1 X 1/2 PLO 2191,$6.04,$9.00,$8.00,10,5,15,PLOMERIA
565,TEE REDUCIDO PVC C.40 1 X 1 X 3/4 PLO 2192,$6.26,$9.00,$8.00,10,5,15,PLOMERIA
7.51E+12,TEE SENCILLA COBRE 1/2 FOSET BASIC,$11.00,$15.00,$14.50,17,20,30,PLOMERIA
7.51E+12,TEE SENCILLA COBRE 3/4 FOSET BASIC,$9.00,$13.00,$12.00,30,20,40,PLOMERIA
7.51E+12,TEE UNION LATON 3/8 FOSET,$25.00,$33.00,$32.50,20,5,20,PLOMERIA
779,TEJUELO PULIDO 25MM 1 CN 073041628,$13.43,$22.00,$18.00,6,1,6,CANDADOS Y CERRADURAS
778,TEJUELO PULIDO 38MM 1-1/2 CN 073041635,$28.39,$45.00,$40.00,6,1,6,TORNILLOS
MOSQUITO,TELA MOSQUITERO VERDE C32 1.20CM X 1MTS CN 249040115,$13.18,$25.00,$20.00,30,10,30,CASA Y JARDIN
841,TEMINALES P/CABLE C/PLASTIC VENTA INDIVIDUAL ML,$0.71,$2.00,$1.50,73,20,80,ELECTRICIDAD
842,TEMINALES P/CABLE JUEGO 400PZ C/PINZAS ML,$300.00,$420.00,$400.00,1,1,3,ELECTRICIDAD
7.50E+12,TENAZA PARA CARPINTERO 6 TRUPER,$89.00,$118.00,$115.00,3,1,3,HERRAMIENTAS
7.50E+12,TENSOR ELASTICO 24 SANTUL AMARILLO CHOLU,$30.72,$55.00,$45.00,3,1,3,CUERDAS
7.51E+12,TENSORES ELASTICOS 2PZA AZUL 90CM PRETUL,$29.00,$38.00,$35.00,8,4,12,HERRAMIENTAS
7.51E+12,TERMINALES LATON PARA BATERIA 2PZAS PRETUL,$79.00,$105.00,$100.00,5,4,6,AUTOS
TC,TERMOCOPLE REFACCION CNX P/BOILER TIPO SALTILLO TC-24 PLO,$36.32,$55.00,$52.00,2,2,3,PLOMERIA
7.91E+11,TERMOFUSOR PA MABS 800W 100V 5060HZ 1/2-1 IUSA PLO 3404,"$1,153.00","$1,500.00","$1,450.00",4,1,1,PLOMERIA
7.50E+12,TERMOFUSORA 600W CNX GRI TERMO-01,$484.00,$700.00,$680.00,2,2,3,HERRAMIENTAS
7.51E+12,TERMOFUSORA 600W PPR FOSET 45171,"$1,150.00","$1,500.00","$1,450.00",1,1,1,PLOMERIA
7.51E+12,TERMOPAR CON PILOTO 60 CM FOSET,$59.00,$77.00,$75.00,10,4,10,PLOMERIA
7.50E+12,TERMOPAR CON PILOTO BAYONETA GAS LP 24 PULG PLO,$50.00,$68.00,$65.00,1,2,3,PLOMERIA
836,TERMOSTATO IUSA AUTOMATICO S/ACCESORIOS 495066 PLO,$364.12,$510.00,$500.00,3,1,3,PLOMERIA
804,THERMOFIT NEGRO 1/2 1METRO STEREN ED,$9.57,$14.00,$13.00,5,2,10,ELECTRICIDAD
805,THERMOFIT NEGRO 1/4 1 METRO STEREN ED,$7.52,$12.00,$11.00,2,3,10,ELECTRICIDAD
806,THERMOFIT NEGRO 1/8 1 METRO STEREN ED,$3.95,$8.00,$7.00,3.5,3,10,ELECTRICIDAD
807,THERMOFIT NEGRO 3/32 1 METRO STEREN ED,$2.93,$6.00,$5.00,4,3,10,ELECTRICIDAD
808,THERMOFIT NEGRO 3/8 1 METRO STEREN ED,$8.03,$16.00,$15.00,5,3,10,ELECTRICIDAD
THINER,THINER ESTANDAR X LITRO,$22.00,$28.00,$27.00,21.31,10,40,PINTURAS
7.50E+12,TIJERA AVIACION CORTE RECTO SANTUL F41,$101.33,$165.00,$162.00,3,1,3,HERRAMIENTAS
7.50E+12,TIJERA COSTURERA LOBO 7 PULG H79 78267,$62.26,$95.00,$90.00,3,1,3,HERRAMIENTAS
6.33E+11,TIJERA P/OFICINA 8 PULG VEKER H79 85292,$31.12,$48.00,$45.00,1,1,3,HERRAMIENTAS
7.56E+11,TIJERA P/PODA 56CM LIGERA MANGO TUBULAR TRUPER,$155.00,$202.00,$199.00,3,1,3,HERRAMIENTAS
7.50E+12,TIJERA P/PODA 56CM LIGERA MGO COMFORT TRUPER,$155.00,$201.00,$197.00,3,1,3,HERRAMIENTAS
7.50E+12,TIJERA P/RAMAS 70 CM CLASSIC MANGO TUBULAR TRUPER,$185.00,$241.00,$237.00,3,1,3,HERRAMIENTAS
7.91E+11,TIJERAS IUSAPLUS CORTATUBO TERMOPLASTICO PPR 16X32 PLO 616423,$171.05,$220.00,$215.00,3,1,3,PLOMERIA
6.33E+11,TIJERAS P/OFICINA 6 PULG VEKER H79 85290,$17.78,$30.00,$27.00,3,1,3,HERRAMIENTAS
7.50E+12,TIJERAS PARA CORTE TUBO PVC CPVC Y PPR GRI TIJCPP,$89.00,$130.00,$125.00,3,1,3,HERRAMIENTAS
7.51E+12,TIMBRE DOLI 4842 ADIR EDISON,$83.37,$110.00,$105.00,3,2,3,ELECTRICIDAD
7.50E+12,TIMBRE INALAMBRICO CON CLAVIJA SANELEC EDISON,$112.16,$145.00,$140.00,5,2,5,ELECTRICIDAD
SAMY-02,TIMBRE PULSADOR CUADRADO VISIBLE SAMY EDISION,$8.14,$11.00,$10.50,5,2,5,ELECTRICIDAD
SAMY-01,TIMBRE PULSADOR TIPO HUEVO VISIBLE SAMY EDISON,$7.28,$10.00,$9.50,5,2,5,ELECTRICIDAD
8.91E+12,TIRA LED NEON 12V RGB PIXEL 5M FUENTE LUZ ED 943-162,$220.00,$290.00,$286.00,4,1,5,ELECTRICIDAD
7.50E+12,TIRA LINEAS 15M CON NIVEL 1260 ADIR H79,$56.17,$80.00,$75.00,3,1,3,PLOMERIA
7.50E+12,TIRA LINEAS 30MTS CON NIVEL 1260 ADIR H79,$56.21,$85.00,$80.00,3,1,3,HERRAMIENTAS
TIROLERA,TIROLERA LION TOOLS 3 LITROS ANG,$291.50,$425.00,$420.00,2,1,2,HERRAMIENTAS
9.00E+11,TONILLO C/HEXA G-5 UNF 3/8 X 2-1/2 CN 127060140,$2.17,$5.00,$4.80,300,100,300,TORNILLOS
7.51E+12,TOPE DE PLASTICO PARA PUERTA HERMEX 40165,$9.00,$16.00,$12.00,12,2,12,CANDADOS Y CERRADURAS
7.50E+12,TOPE TIPO DOMO PARA PUERTA ACABADO CROMO HERMEX 43777,$37.00,$55.00,$52.00,6,1,6,CANDADOS Y CERRADURAS
9.00E+12,TORNILLO ALLEN 1/4 X 1 1/2 CN,$1.22,$4.00,$3.50,100,20,100,TORNILLOS
9.00E+12,TORNILLO ALLEN 1/4 X 1 CN,$0.85,$3.00,$2.50,100,20,100,TORNILLOS
9.00E+12,TORNILLO ALLEN 1/4 X 2 CN,$1.67,$5.00,$4.50,100,20,100,TORNILLOS
9.00E+11,TORNILLO ALLEN 3/16 X 2 CN,$1.14,$4.00,$3.50,100,20,100,TORNILLOS
7.11E+11,TORNILLO ANCLA COFLEX PLASTICO P/BRIDA SANITARIA 2 PULG PLO,$22.62,$32.00,$30.00,10,2,5,PLOMERIA
9.00E+12,TORNILLO BOTON ALLEN 10 X 24 X 1 1/2PULG  CN,$1.07,$2.50,$2.20,100,10,100,TORNILLOS
9.00E+12,TORNILLO BOTON ALLEN 10 X 24 X 1/2 CN,$0.48,$1.00,$0.80,100,10,100,TORNILLOS
9.00E+12,TORNILLO BOTON ALLEN 10 X 24 X 1PULG CN,$0.71,$2.00,$1.50,100,10,100,TORNILLOS
9.00E+12,TORNILLO BOTON ALLEN 10 X 24 X 3/4 CN,$0.64,$1.50,$1.20,100,10,100,TORNILLOS
9.01E+12,TORNILLO C/COCHE GALV 1/4 X 2 CN,$0.70,$2.00,$1.80,500,10,100,TORNILLOS
9.01E+12,TORNILLO C/COCHE GALV 1/4 X 2-1/2 CN,$0.85,$2.50,$2.20,250,10,50,TORNILLOS
9.01E+12,TORNILLO C/COCHE GALV 1/4 X 3,$1.03,$3.00,$2.80,250,10,50,TORNILLOS
